UKATEGORIE;UART;ULICHTVERH;XGCSWGS84;YGCSWGS84;STRZUSTAND;GEN_K
"3";"0";"2";7.04494786400;52.20636763400;"1";Borken
"3";"0";"0";6.70713608400;51.83302534900;"1";Borken
"3";"1";"1";7.00781068600;50.93876246200;"0";Köln
"3";"0";"1";6.93112565200;50.92317021700;"2";Köln
"3";"8";"2";7.80721957800;51.63709494200;"2";Hamm
"3";"5";"1";7.00698944500;51.40324038700;"0";Essen
"3";"0";"0";9.32927896000;51.78455437400;"2";Höxter
"2";"4";"2";8.31374618700;51.81956123700;"0";Gütersloh
"3";"0";"0";6.47065233100;51.21395550300;"0";Mönchengladbach
"3";"0";"2";8.09416938100;52.00942792300;"1";Gütersloh
"3";"5";"1";8.34552505300;51.68027764000;"0";Soest
"3";"5";"0";7.72114412700;51.97899649300;"1";Münster
"3";"5";"2";6.88524336900;51.44396593800;"0";Mülheim an der Ruhr
"3";"0";"2";7.45862937600;51.76695903900;"0";Coesfeld
"3";"0";"0";6.56370835200;51.32268377600;"0";Krefeld
"3";"0";"1";7.77851086200;51.64604479100;"1";Hamm
"3";"5";"0";7.18202895300;50.64822041600;"0";Rhein-Sieg-Kreis
"3";"5";"0";6.58922054000;51.53946284500;"0";Wesel
"3";"5";"2";7.15013905400;51.52372873600;"0";Herne
"3";"5";"2";7.17051232400;51.57364411200;"0";Recklinghausen
"3";"0";"0";6.90491579900;50.93699258500;"1";Köln
"3";"5";"1";6.94130808100;51.21484485300;"0";Mettmann
"3";"4";"0";7.84446293400;51.92475818700;"1";Warendorf
"3";"9";"2";6.77920775100;50.63417027500;"0";Euskirchen
"3";"0";"0";6.71524226300;51.57174872000;"0";Wesel
"3";"5";"1";6.97381257200;51.67453341500;"1";Recklinghausen
"3";"0";"0";8.11107835300;51.55502001800;"0";Soest
"2";"5";"0";6.87120751800;51.40536301700;"1";Mülheim an der Ruhr
"2";"0";"0";6.96635280900;50.93636855400;"0";Köln
"3";"5";"0";7.78526795100;51.97947292500;"0";Warendorf
"3";"0";"0";6.32833286700;51.51916321500;"0";Kleve
"3";"0";"0";6.92539364900;50.94619750500;"0";Köln
"3";"5";"0";7.64997699900;51.90484920100;"0";Münster
"3";"5";"0";7.39365414300;52.12154516900;"0";Steinfurt
"3";"0";"2";6.91622137000;50.93072162100;"1";Köln
"3";"4";"2";6.98544904000;50.82070834300;"0";Rhein-Erft-Kreis
"3";"5";"2";7.62640489600;51.66961590900;"1";Unna
"3";"3";"0";6.60818171000;51.22271924500;"0";Rhein-Kreis Neuss
"3";"0";"2";6.78748155800;51.21436920700;"0";Düsseldorf
"3";"1";"0";6.93732755800;50.92511223600;"1";Köln
"3";"5";"0";6.75307520500;51.39556906100;"0";Duisburg
"3";"7";"2";6.93351454700;50.94947598500;"0";Köln
"3";"0";"2";7.81800294400;51.67087191200;"0";Hamm
"3";"0";"0";8.58585694000;52.19386616100;"0";Herford
"3";"5";"2";7.06520025600;50.78108763500;"0";Rhein-Sieg-Kreis
"2";"5";"2";6.82460203900;52.02123395200;"1";Borken
"2";"5";"2";7.59822465200;51.36424802400;"1";Märkischer Kreis
"2";"0";"0";7.58431476300;51.93557468000;"1";Münster
